gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attLfGoal,attGoalLowCentre,goals,attOboxBlocked,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attOneOnOne,ptsGainedLosingPos,divingSave,attMissRight,attOboxMiss,contentiousDecision,attLgCentre,hitWoodwork,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,punches,attIboxGoal,goalAssistIntentional,possessionPercentage,penaltyFaced,penGoalsConceded,forwardGoals,attCmissRight,attFreekickTotal,postScoringAtt,attMissLeft,attSvHighRight,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickTotal,attPostLeft,attObxdRight,attMissHighLeft,attSetpiece,attSvLowRight,attFreekickTarget,attOboxPost,attPostHigh,ptsDroppedWinningPos,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attMissHighRight,penaltyWon,defenderGoals,attPenGoal,attGoalHighLeft,goalsConcededObox,attOboxGoal,attGoalHighCentre,ownGoals,foulThrowIn,attIboxOwnGoal,attHdGoal,attGoalHighRight,cleanSheet,goodHighClaim,accurateThroughBall,totalThroughBall,clearanceOffLine,totalHighClaim,attIboxPost,attCmissLeft,attFreekickMiss,attPostRight,accurateFreekickCross,attCmissHighLeft,winningGoal,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,attCmissHighRight,errorLeadToGoal,attObxLeft,attCmissHigh,secondYellow,attFreekickPost,attObxdLeft,attHdPost
1,2128291,2020-09-13 16:30:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Everton,0,1,L,0,0,0,0,1.0,20.0,49.0,2.0,3.0,19.0,17.0,1.0,1.0,8.0,3.0,3.0,156.0,5.0,6.0,5.0,2.0,9.0,5.0,158.0,138.0,38.0,9.0,15.0,4.0,1.0,4.0,24.0,4.0,1.0,17.0,5.0,7.0,37.0,258.0,0.0,143.0,15.0,1.0,1.0,83.0,86.0,8.0,78.0,1.0,19.0,17.0,1.0,10.0,138.0,2.0,10.0,160.0,730.0,8.0,10.0,19.0,2.0,4.0,453.0,14.0,1.0,10.0,1.0,4.0,1.0,34.0,535.0,65.0,1.0,95715,5.0,218.0,2.0,8.0,2.0,231.0,9.0,1.0,17.0,8.0,65.0,7.0,15.0,5.0,8.0,1.0,44.0,470.0,6.0,18.0,1.0,5.0,2.0,71.0,1.0,0.0,1.0,3.0,1.0,1.0,5.0,0.0,4.0,1.0,3.0,31.0,1.0,3.0,1.0,1.0,7.0,3.0,46.0,5.0,552.0,4.0,16.0,11.0,1.0,34.0,2.0,1.0,345.0,4.0,5.0,18.0,102.0,25.0,1.0,10.0,9.0,1.0,7.0,3.0,8.0,1.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128304,2020-09-20 12:00:00,"St. Mary's Stadium, Southampton",,Away,Tottenham Hotspur,Southampton,5,2,W,1,1,0,0,1.0,30.0,48.0,2.0,1.0,25.0,21.0,1.0,6.0,7.0,5.0,,151.0,19.0,,8.0,1.0,8.0,6.0,104.0,157.0,61.0,9.0,16.0,1.0,1.0,1.0,6.0,3.0,,21.0,1.0,2.0,47.0,112.0,0.0,67.0,18.0,2.0,,59.0,35.0,7.0,53.0,1.0,5.0,20.0,2.0,4.0,157.0,3.0,9.0,111.0,576.0,4.0,4.0,8.0,,5.0,277.0,22.0,3.0,11.0,3.0,2.0,1.0,29.0,387.0,45.0,,95715,3.0,191.0,,1.0,,243.0,15.0,,20.0,9.0,52.0,4.0,9.0,5.0,8.0,,63.0,303.0,14.0,11.0,,20.0,,66.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,,,,19.0,,2.0,,,4.0,2.0,31.0,2.0,419.0,5.0,2.0,19.0,1.0,12.0,,,182.0,3.0,2.0,31.0,34.0,19.0,1.0,11.0,8.0,2.0,8.0,3.0,14.0,1.0,7.0,2.0,1.0,4.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,6.0,5.0,1.0,5.0,4.0,47.5,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128313,2020-09-27 14:00:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Newcastle United,1,1,D,1,0,0,0,1.0,15.0,47.0,,2.0,26.0,17.0,7.0,10.0,15.0,,6.0,155.0,10.0,8.0,8.0,3.0,14.0,12.0,209.0,124.0,43.0,23.0,24.0,7.0,,4.0,20.0,6.0,4.0,17.0,8.0,12.0,35.0,375.0,0.0,194.0,15.0,,1.0,75.0,97.0,10.0,78.0,,12.0,8.0,8.0,4.0,124.0,3.0,4.0,198.0,818.0,8.0,6.0,37.0,2.0,8.0,551.0,18.0,1.0,10.0,1.0,3.0,4.0,20.0,626.0,72.0,,95715,8.0,197.0,3.0,7.0,1.0,207.0,11.0,,8.0,3.0,60.0,1.0,17.0,2.0,3.0,1.0,46.0,564.0,8.0,6.0,5.0,9.0,5.0,67.0,,0.0,,4.0,,1.0,2.0,0.0,3.0,,3.0,18.0,1.0,1.0,1.0,1.0,2.0,4.0,49.0,10.0,640.0,8.0,11.0,17.0,7.0,30.0,5.0,5.0,453.0,8.0,12.0,17.0,145.0,26.0,1.0,10.0,10.0,1.0,14.0,3.0,13.0,1.0,2.0,10.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,2.0,,,,2.0,1.0,,1.0,,,1.0,,1.0,1.0,65.8,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128322,2020-10-04 16:30:00,"Old Trafford, Manchester",,Away,Tottenham Hotspur,Manchester United,6,1,W,4,1,0,1,,25.0,50.0,1.0,4.0,32.0,17.0,5.0,9.0,16.0,1.0,1.0,167.0,12.0,2.0,11.0,3.0,18.0,8.0,191.0,102.0,50.0,22.0,10.0,2.0,1.0,,8.0,11.0,,17.0,3.0,2.0,33.0,232.0,0.0,108.0,11.0,1.0,1.0,85.0,61.0,12.0,102.0,,5.0,19.0,6.0,1.0,102.0,5.0,2.0,212.0,862.0,11.0,3.0,25.0,,12.0,589.0,20.0,,7.0,1.0,1.0,5.0,12.0,652.0,42.0,,95715,8.0,376.0,1.0,3.0,1.0,394.0,5.0,1.0,19.0,4.0,53.0,7.0,13.0,3.0,4.0,1.0,53.0,606.0,13.0,17.0,2.0,7.0,6.0,74.0,1.0,0.0,1.0,2.0,,1.0,2.0,0.0,,1.0,2.0,11.0,2.0,6.0,2.0,1.0,7.0,8.0,53.0,4.0,672.0,12.0,11.0,19.0,6.0,17.0,2.0,4.0,286.0,11.0,2.0,3.0,82.0,16.0,,7.0,23.0,1.0,13.0,3.0,15.0,,12.0,4.0,1.0,6.0,1.0,2.0,,6.0,4.0,3.0,,3.0,,1.0,3.0,1.0,2.0,2.0,,,,4.0,,1.0,4.0,,4.0,,6.0,4.0,61.6,1.0,1.0,4.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128334,2020-10-18 16:30:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,West Ham United,3,3,D,3,0,0,0,,28.0,58.0,1.0,1.0,26.0,30.0,6.0,5.0,5.0,2.0,1.0,182.0,15.0,3.0,10.0,2.0,9.0,6.0,129.0,138.0,61.0,11.0,19.0,1.0,1.0,1.0,12.0,15.0,2.0,30.0,3.0,5.0,35.0,177.0,0.0,96.0,13.0,1.0,1.0,46.0,39.0,6.0,85.0,,9.0,23.0,6.0,4.0,138.0,3.0,11.0,115.0,707.0,6.0,8.0,13.0,,7.0,396.0,29.0,9.0,14.0,0.0,5.0,3.0,10.0,484.0,46.0,,95715,2.0,244.0,2.0,4.0,,274.0,8.0,1.0,23.0,8.0,57.0,3.0,17.0,3.0,6.0,1.0,57.0,418.0,12.0,11.0,,25.0,,70.0,1.0,0.0,3.0,7.0,1.0,3.0,3.0,0.0,3.0,,1.0,10.0,,4.0,,,3.0,1.0,42.0,3.0,511.0,7.0,6.0,18.0,4.0,16.0,,1.0,249.0,5.0,3.0,15.0,64.0,19.0,5.0,14.0,25.0,2.0,10.0,3.0,18.0,5.0,9.0,3.0,2.0,1.0,1.0,,,3.0,,1.0,,3.0,,,,,2.0,2.0,,,1.0,3.0,,,2.0,1.0,3.0,,2.0,2.0,51.2,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128339,2020-10-26 20:00:00,"Turf Moor, Burnley",,Away,Tottenham Hotspur,Burnley,1,0,W,0,0,0,0,,33.0,55.0,3.0,3.0,27.0,13.0,1.0,2.0,8.0,3.0,,192.0,18.0,3.0,7.0,2.0,8.0,3.0,149.0,140.0,52.0,9.0,26.0,2.0,1.0,1.0,18.0,5.0,,13.0,5.0,5.0,47.0,257.0,0.0,134.0,7.0,1.0,3.0,86.0,67.0,6.0,93.0,1.0,13.0,11.0,1.0,5.0,140.0,1.0,3.0,161.0,764.0,6.0,5.0,24.0,1.0,12.0,487.0,22.0,3.0,7.0,0.0,5.0,2.0,23.0,577.0,64.0,1.0,95715,4.0,247.0,,5.0,,278.0,4.0,,11.0,7.0,55.0,8.0,12.0,10.0,5.0,1.0,61.0,501.0,8.0,7.0,1.0,14.0,2.0,79.0,1.0,0.0,1.0,4.0,1.0,,4.0,0.0,1.0,,3.0,22.0,1.0,2.0,1.0,,8.0,4.0,47.0,5.0,595.0,12.0,7.0,20.0,2.0,34.0,2.0,2.0,335.0,4.0,4.0,27.0,97.0,21.0,2.0,7.0,11.0,,6.0,3.0,15.0,2.0,4.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,2.0,,,1.0,1.0,61.7,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
7,2128354,2020-11-01 19:15:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Brighton and Hove Albion,2,1,W,1,0,0,0,1.0,29.0,53.0,,,24.0,16.0,3.0,4.0,5.0,1.0,,135.0,19.0,2.0,2.0,4.0,6.0,3.0,88.0,144.0,46.0,9.0,12.0,1.0,,,9.0,9.0,,16.0,4.0,7.0,29.0,132.0,0.0,102.0,14.0,,,58.0,37.0,2.0,69.0,1.0,5.0,14.0,4.0,1.0,144.0,2.0,5.0,95.0,555.0,4.0,9.0,17.0,,10.0,278.0,23.0,10.0,11.0,2.0,2.0,4.0,28.0,363.0,39.0,,95715,3.0,164.0,1.0,4.0,,186.0,6.0,,14.0,5.0,44.0,5.0,16.0,1.0,3.0,1.0,60.0,294.0,11.0,6.0,1.0,28.0,2.0,62.0,,0.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,,2.0,17.0,1.0,7.0,1.0,,5.0,,25.0,4.0,387.0,10.0,9.0,9.0,6.0,22.0,1.0,1.0,210.0,3.0,5.0,17.0,65.0,16.0,1.0,11.0,16.0,1.0,5.0,3.0,6.0,1.0,6.0,4.0,1.0,2.0,1.0,,,2.0,,,,1.0,,,,,,3.0,1.0,,2.0,1.0,,,1.0,,1.0,,2.0,1.0,43.4,,,1.0,,1.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
8,2128364,2020-11-08 12:00:00,"The Hawthorns, West Bromwich",,Away,Tottenham Hotspur,West Bromwich Albion,1,0,W,0,0,0,0,,25.0,55.0,,4.0,27.0,33.0,6.0,9.0,13.0,2.0,,167.0,14.0,7.0,7.0,4.0,14.0,5.0,125.0,165.0,54.0,19.0,31.0,3.0,,1.0,21.0,10.0,1.0,33.0,6.0,8.0,48.0,222.0,0.0,120.0,12.0,,2.0,56.0,70.0,12.0,77.0,2.0,15.0,14.0,6.0,2.0,165.0,2.0,7.0,139.0,712.0,11.0,3.0,22.0,1.0,8.0,382.0,19.0,2.0,23.0,0.0,3.0,2.0,18.0,484.0,49.0,,95715,6.0,182.0,2.0,11.0,1.0,224.0,5.0,,14.0,8.0,73.0,3.0,16.0,5.0,1.0,1.0,57.0,397.0,14.0,11.0,2.0,21.0,1.0,82.0,,0.0,,9.0,2.0,,2.0,0.0,5.0,,3.0,14.0,1.0,3.0,4.0,1.0,3.0,8.0,44.0,6.0,508.0,8.0,13.0,26.0,6.0,25.0,2.0,5.0,305.0,6.0,6.0,17.0,90.0,30.0,6.0,23.0,16.0,,15.0,3.0,13.0,6.0,4.0,6.0,3.0,1.0,,,,1.0,4.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,58.8,,,1.0,1.0,1.0,,2.0,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
9,2128374,2020-11-21 17:30:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Manchester City,2,0,W,1,0,0,0,,27.0,61.0,2.0,,27.0,30.0,3.0,2.0,1.0,5.0,,136.0,13.0,1.0,4.0,5.0,2.0,2.0,65.0,120.0,53.0,4.0,11.0,,1.0,,2.0,14.0,,30.0,,4.0,49.0,89.0,0.0,68.0,13.0,2.0,1.0,38.0,27.0,2.0,47.0,1.0,2.0,12.0,3.0,,120.0,2.0,15.0,70.0,493.0,,7.0,9.0,,8.0,199.0,32.0,5.0,17.0,2.0,10.0,,8.0,276.0,39.0,,95715,,145.0,,1.0,,177.0,5.0,,12.0,17.0,53.0,4.0,15.0,7.0,15.0,,62.0,233.0,16.0,17.0,,16.0,,55.0,1.0,0.0,,10.0,3.0,,1.0,0.0,1.0,,,3.0,,2.0,1.0,,4.0,2.0,24.0,,318.0,8.0,8.0,27.0,,11.0,,,143.0,2.0,3.0,8.0,38.0,17.0,4.0,17.0,25.0,,3.0,3.0,9.0,4.0,6.0,,,2.0,1.0,2.0,,2.0,2.0,,,2.0,1.0,,,3.0,,,,,,2.0,,,,1.0,2.0,,1.0,2.0,33.9,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
10,2128378,2020-11-29 16:30:00,"Stamford Bridge, London",,Away,Tottenham Hotspur,Chelsea,0,0,D,0,0,0,0,,24.0,55.0,2.0,1.0,27.0,12.0,3.0,,2.0,3.0,1.0,151.0,13.0,2.0,9.0,2.0,3.0,1.0,99.0,122.0,44.0,5.0,13.0,,,,7.0,1.0,1.0,12.0,3.0,5.0,40.0,173.0,0.0,110.0,9.0,,1.0,54.0,61.0,2.0,68.0,2.0,4.0,14.0,3.0,1.0,122.0,,9.0,120.0,588.0,3.0,7.0,14.0,,9.0,324.0,26.0,1.0,10.0,2.0,3.0,1.0,19.0,404.0,39.0,1.0,95715,1.0,183.0,,2.0,,212.0,3.0,1.0,14.0,10.0,41.0,7.0,12.0,4.0,9.0,1.0,62.0,354.0,19.0,6.0,,15.0,2.0,59.0,,0.0,,3.0,1.0,,2.0,0.0,1.0,,,12.0,,3.0,1.0,,7.0,1.0,38.0,3.0,438.0,9.0,8.0,16.0,3.0,22.0,1.0,1.0,233.0,5.0,5.0,14.0,75.0,16.0,,10.0,5.0,,2.0,3.0,14.0,,7.0,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,39.7,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,
11,2128393,2020-12-06 16:30:00,"Tottenham Hotspur Stadium, London",2000.0,Home,Tottenham Hotspur,Arsenal,2,0,W,2,0,0,0,1.0,34.0,47.0,,1.0,15.0,55.0,3.0,1.0,2.0,2.0,1.0,122.0,17.0,,5.0,2.0,3.0,3.0,61.0,134.0,49.0,5.0,19.0,,1.0,,6.0,7.0,1.0,55.0,3.0,2.0,34.0,59.0,0.0,35.0,16.0,2.0,,21.0,23.0,3.0,34.0,,3.0,10.0,3.0,2.0,134.0,,6.0,71.0,458.0,1.0,6.0,5.0,,5.0,179.0,36.0,5.0,33.0,1.0,2.0,,14.0,264.0,17.0,,95715,,135.0,,1.0,,183.0,11.0,,10.0,11.0,60.0,,12.0,5.0,7.0,,49.0,194.0,12.0,11.0,,20.0,,45.0,1.0,0.0,2.0,9.0,2.0,0.0,,0.0,,1.0,,11.0,,,1.0,1.0,,1.0,18.0,3.0,288.0,5.0,9.0,11.0,1.0,10.0,,,111.0,4.0,2.0,19.0,19.0,9.0,1.0,33.0,13.0,0.0,4.0,3.0,11.0,1.0,5.0,3.0,,,0.0,1.0,0.0,2.0,,,,2.0,1.0,,,2.0,,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,30.2,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,0.0,,,,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
12,2128397,2020-12-13 14:15:00,"Selhurst Park, London",2000.0,Away,Tottenham Hotspur,Crystal Palace,1,1,D,1,0,0,0,1.0,33.0,64.0,1.0,,32.0,12.0,7.0,2.0,7.0,4.0,2.0,144.0,10.0,2.0,5.0,6.0,7.0,6.0,125.0,140.0,49.0,14.0,22.0,4.0,,3.0,19.0,13.0,1.0,12.0,7.0,2.0,49.0,228.0,0.0,156.0,11.0,,2.0,100.0,63.0,4.0,70.0,1.0,12.0,12.0,7.0,6.0,140.0,1.0,11.0,118.0,638.0,3.0,5.0,16.0,2.0,4.0,346.0,23.0,5.0,7.0,1.0,5.0,3.0,22.0,435.0,59.0,,95715,4.0,139.0,2.0,4.0,,159.0,7.0,,12.0,6.0,50.0,7.0,11.0,5.0,5.0,,56.0,365.0,14.0,7.0,3.0,15.0,1.0,65.0,,0.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,,3.0,15.0,1.0,4.0,,,7.0,3.0,37.0,7.0,457.0,4.0,6.0,25.0,5.0,36.0,1.0,3.0,317.0,9.0,1.0,10.0,109.0,27.0,2.0,7.0,20.0,1.0,9.0,3.0,10.0,2.0,7.0,7.0,1.0,,0.0,0.0,1.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,2.0,,,2.0,1.0,,,1.0,,1.0,,0.0,,57.1,,,1.0,,3.0,,2.0,,1.0,0.0,1.0,3.0,,,,1.0,,1.0,,,2.0,0.0,,,,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,,1.0,2.0,,,,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,
13,2128414,2020-12-16 20:00:00,"Anfield, Liverpool",2000.0,Away,Tottenham Hotspur,Liverpool,1,2,L,1,1,0,0,1.0,32.0,75.0,1.0,,18.0,29.0,2.0,1.0,5.0,9.0,1.0,134.0,18.0,1.0,4.0,2.0,5.0,2.0,43.0,137.0,52.0,8.0,19.0,,,1.0,10.0,14.0,1.0,29.0,4.0,2.0,37.0,58.0,0.0,55.0,9.0,,1.0,19.0,47.0,1.0,37.0,1.0,6.0,15.0,3.0,2.0,137.0,3.0,15.0,40.0,443.0,3.0,7.0,6.0,,14.0,142.0,40.0,3.0,19.0,2.0,5.0,4.0,14.0,232.0,38.0,1.0,95715,2.0,99.0,3.0,3.0,,136.0,6.0,,15.0,5.0,47.0,6.0,14.0,2.0,4.0,2.0,57.0,156.0,7.0,8.0,1.0,23.0,1.0,63.0,,0.0,1.0,7.0,8.0,2.0,2.0,0.0,,,1.0,11.0,1.0,1.0,3.0,,6.0,,25.0,4.0,254.0,14.0,3.0,12.0,6.0,12.0,1.0,3.0,128.0,6.0,1.0,15.0,25.0,20.0,1.0,19.0,26.0,2.0,6.0,3.0,13.0,1.0,8.0,4.0,,1.0,1.0,,,1.0,,,,1.0,,,,4.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,24.2,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,
14,2128424,2020-12-20 14:15:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Leicester City,0,2,L,0,1,0,0,,32.0,69.0,2.0,1.0,26.0,13.0,3.0,2.0,5.0,3.0,2.0,171.0,17.0,9.0,12.0,5.0,6.0,3.0,141.0,164.0,76.0,8.0,24.0,1.0,,2.0,23.0,12.0,2.0,13.0,5.0,5.0,52.0,215.0,0.0,157.0,15.0,,1.0,39.0,68.0,3.0,72.0,2.0,18.0,8.0,3.0,6.0,164.0,1.0,13.0,134.0,710.0,3.0,6.0,27.0,,8.0,387.0,30.0,2.0,5.0,2.0,7.0,3.0,23.0,494.0,67.0,1.0,95715,2.0,202.0,1.0,11.0,,237.0,11.0,1.0,8.0,6.0,66.0,5.0,11.0,5.0,5.0,2.0,57.0,408.0,14.0,9.0,3.0,16.0,5.0,81.0,,0.0,2.0,3.0,1.0,2.0,2.0,0.0,6.0,,3.0,17.0,3.0,5.0,1.0,,5.0,1.0,51.0,5.0,518.0,8.0,12.0,22.0,4.0,40.0,3.0,3.0,304.0,3.0,5.0,30.0,102.0,27.0,1.0,5.0,20.0,2.0,1.0,3.0,19.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,1.0,,2.0,,,,,56.4,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
15,2128435,2020-12-27 19:15:00,"Molineux Stadium, Wolverhampton",,Away,Tottenham Hotspur,Wolverhampton Wanderers,1,1,D,1,0,0,0,,26.0,59.0,1.0,1.0,22.0,25.0,2.0,2.0,4.0,5.0,,168.0,14.0,2.0,6.0,2.0,5.0,3.0,114.0,140.0,59.0,6.0,21.0,2.0,1.0,1.0,7.0,7.0,,25.0,2.0,2.0,40.0,157.0,0.0,92.0,13.0,1.0,1.0,43.0,67.0,4.0,72.0,4.0,5.0,15.0,2.0,2.0,140.0,,7.0,112.0,644.0,3.0,4.0,14.0,,11.0,343.0,26.0,1.0,14.0,1.0,3.0,1.0,18.0,435.0,36.0,,93264,2.0,212.0,,2.0,1.0,242.0,9.0,3.0,15.0,4.0,68.0,3.0,10.0,4.0,4.0,,51.0,367.0,20.0,14.0,1.0,17.0,1.0,63.0,1.0,0.0,,9.0,4.0,1.0,,0.0,2.0,,1.0,13.0,1.0,3.0,1.0,,3.0,1.0,34.0,2.0,466.0,11.0,11.0,22.0,2.0,16.0,,1.0,231.0,2.0,1.0,19.0,59.0,21.0,2.0,14.0,14.0,1.0,3.0,3.0,16.0,2.0,7.0,2.0,2.0,,,,1.0,1.0,,,,,,,,3.0,,1.0,,,,1.0,,,1.0,,,,,1.0,45.2,,,1.0,,1.0,,2.0,,,,1.0,1.0,,,,1.0,,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
