gw,is_home,opponent_name,opponent_code,difficulty,finished
1,True,West Ham,21,2,True
2,False,Burnley,90,2,True
3,True,Brentford,94,3,True
4,False,Crystal Palace,31,3,True
5,True,Aston Villa,7,3,True
6,False,Nott'm Forest,17,3,True
7,False,Man Utd,1,4,True
8,True,Wolves,39,1,True
9,False,Chelsea,8,3,True
10,True,Everton,11,3,True
11,True,Arsenal,3,4,True
12,False,Fulham,54,3,True
13,True,Bournemouth,91,3,True
14,False,Liverpool,14,4,True
15,False,Man City,43,5,True
16,True,Newcastle,4,3,True
17,False,Brighton,36,4,True
18,True,Leeds,2,2,True
19,True,Man City,43,4,True
20,False,Spurs,6,3,True
21,False,Brentford,94,3,True
22,True,Crystal Palace,31,3,True
23,False,West Ham,21,3,True
24,True,Burnley,90,1,True
25,False,Arsenal,3,5,True
26,True,Liverpool,14,3,True
27,True,Fulham,54,3,True
28,False,Bournemouth,91,4,True
29,False,Leeds,2,3,True
30,True,Brighton,36,3,True
31,False,Newcastle,4,3,True
32,True,Spurs,6,3,True
33,False,Aston Villa,7,4,True
34,True,Nott'm Forest,17,3,True
35,False,Wolves,39,2,True
36,True,Man Utd,1,3,True
37,False,Everton,11,3,True
38,True,Chelsea,8,3,True
